,mu1,var1,weight1,mu2,var2,weight2,UE,OE
HSC,-0.2033541661909965,0.9942822278304684,0.6939349011106475,-0.5529670179167844,6.072680493150312,0.3060650988893525,-5.481528874341156,4.375594838507587
MPPa,-0.043132189717095724,0.5752623787262294,0.6910941455817153,-0.5475636769993686,5.119398485042316,0.30890585441828466,-5.07278123421905,3.9776538802203127
MPPb,-0.05506261526863386,0.5221678119695863,0.7361763528087286,0.5135209723662696,4.796363183893,0.2638236471912714,-3.8665992012787416,4.893641146011281
MPPc,0.029092106384287494,0.5300144183795865,0.7294694155182326,0.6303954433080246,4.775237967889384,0.27053058448176737,-3.740068132968242,5.000859019584292
CLP,0.013461009944820955,0.6086859495994198,0.7071964354373306,-0.35677675287988037,5.426100928732486,0.2928035645626694,-5.0155752798533255,4.302021774093565
CMP,0.04943174099839959,0.4564752855343793,0.7286410443339949,0.41411536701129215,4.699961151370851,0.2713589556660051,-3.9217633911510488,4.749994125173633
MEP,0.06701455027219237,0.8044309811567711,0.7316895556661644,-0.4505655513712119,6.139102904905116,0.26831044433383555,-5.406008177375519,4.504877074633095
GMP,0.009435403555751834,0.681419971566164,0.7156801063249096,0.45517257771371017,5.531020485115598,0.28431989367509036,-4.248451763202813,5.158796918630233
