,Spearman
HSC,0.35722679760110204,2.8341789931536133e-107
MPPa,0.4486530038228717,2.57645839485985e-175
MPPb,0.4319119546310666,3.233604739902931e-161
MPPc,0.419542527446856,2.6776316640253534e-151
