,,AgedHSC,AgedMPPa,AgedMPPb,AgedMPPc,CLP,CMP,GMP,HSC,MEP,MPPa,MPPb,MPPc
A0A068BER1,Tap1,152.16407945724768,149.0634969822757,149.3609210552698,163.19620880124455,121.3040248662237,159.5606487113054,104.16977462328735,130.1261066506061,109.68100060249037,163.4504802746965,178.74373746722623,110.95178669043976
A0A068BFS4,Ring1,65.64552570310882,90.39836444545797,96.74182870355132,39.455552176966044,13.328895692107121,38.217035912087205,27.514023858757728,59.90777598651179,48.84766464456435,44.61986956379846,53.09056186976875,52.54098393149218
A0A068BGR9,Ndufa7,61.55368087462747,78.75705001570277,65.89223279497553,87.17990536194608,94.36322550934938,51.22192317084347,47.48244650615573,62.091594662534234,66.36757387103805,62.41489107389417,44.966296873886066,125.11916555157303
A0A068BIU7,Wdr46,177.98474494150494,160.7642889858967,91.87045650562358,158.8414825367112,163.77013896953378,139.0908679814817,167.66951306413006,0.0,203.52197805276276,47.274238528337705,86.22060034605612,110.99231773614395
A0A075DCG2,COX3,0.0,0.0,0.0,0.0,0.0,0.0,16.592750597479686,0.0,0.0,0.0,0.0,0.0
A0A076N1C3,Kidins220,0.0,0.0,0.0,0.0,0.0,55.26224138437511,0.0,0.0,101.74316459928816,0.0,31.181959042387554,0.0
A0A087WNL5,Msl2,0.0,0.0,0.0,0.0,0.0,42.651065915048335,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNM5,Aamp,83.33894491461676,111.16924528271386,108.54270438737625,148.84538470405317,120.86417597986906,138.40621258434655,156.80613509429242,63.74765722430813,143.16611047873772,131.56857700428117,112.20118771835212,107.19334808806968
A0A087WNQ8,Ogfrl1,0.0,0.0,0.0,0.0,0.0,0.0,10.30137383408917,0.0,0.0,0.0,51.44860586925808,123.97504549977181
A0A087WNW0,Nop58,726.3910145442103,699.6302452678349,483.32942859037513,710.6868156214969,480.76730011251135,710.4501870384496,489.02435924160136,283.2840041247904,473.2662109325359,440.3334032493749,681.7778432622594,811.3719437248951
A0A087WNY4,Ikzf2,0.0,41.68228061797658,85.66155778270809,18.3666187707752,0.0,59.48628323619853,11.820227640582427,0.0,0.0,149.34856500355707,30.446653712341874,62.76282598095118
A0A087WP49,Dgkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.113475428732094,0.0,0.0
A0A087WP62,Pik3r4,0.0,125.08178516503007,0.0,77.6100568683294,36.235828948062355,128.3989489877804,121.61378609166462,0.0,60.12905068838676,9.951437126873843,130.59806365141537,66.18161954388725
A0A087WP81,Uchl5,206.80033376441585,185.52180082325447,189.96511282296217,227.56490924946243,228.4975896237867,217.7861496193662,220.83982021728775,197.27148379346463,269.38448892061535,296.0458177987884,228.7452964308331,242.90114436865142
A0A087WP83,Hdlbp,297.64712429656987,360.06215427197975,399.2877317971534,382.25569946891534,290.28421962455286,418.67049703086366,887.419200985877,138.85577248096635,536.5359034070399,288.55001060525547,305.6370252778791,277.8343494868538
A0A087WP85,Ktn1,171.3706974002506,210.16677898123427,210.1895504489871,140.62786237773395,104.08355006823328,224.4263674729293,196.01479071145542,106.10996294663182,347.67109671549974,236.8138104435613,229.38144987372982,196.37973055533823
A0A087WP86,Actr3,884.198670342348,802.314035904477,955.170252012278,965.4239664415691,936.6105919320105,1216.4947032227085,1221.8319916534804,808.4750928993861,706.5712787564543,983.8544369182066,977.0828517799378,1257.974839689948
A0A087WP87,Rnf2,100.74744545765638,119.8034441917085,135.35547736318642,116.79236366629145,90.31998852366898,105.59519726458763,85.66588337096468,54.252608828784595,130.96388048715244,97.16021733116452,65.19157110883113,99.47562303802324
A0A087WP89,Phip,116.8662642029525,141.13145804894157,119.36588172783819,121.0551101681933,172.14727640087048,91.3022526757802,92.46761261930372,157.73774055273958,119.01544174301323,120.89746794543314,56.392110225214644,99.30482379365043
A0A087WPD2,Rbm15b,0.0,49.20616858639684,0.0,12.646729845632969,41.20818814539683,0.0,58.893501748027894,0.0,52.91559214578668,49.11097613598407,25.85225134775494,66.36252141914507
A0A087WPD3,Pknox2,13.604319843498494,16.31607961835828,0.0,5.677101338199096,8.169850621552586,0.0,5.388913725551774,0.0,0.0,5.807275355691834,0.0,0.0
A0A087WPG6,D2hgdh,6.336563911227964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WPH0,Ncf2,12.426537906538144,10.196121409404169,29.126442396003252,49.01982034319842,43.4394981741079,71.01516904964171,199.4750498592704,16.86520407122764,0.0,54.12358638290919,39.33636338382164,92.54439540801873
A0A087WPJ6,Rad54l2,0.0,0.0,0.0,0.0,0.0,72.83450746326318,18.286042156951243,0.0,51.78240398215967,0.0,42.39944523062094,34.941287400786116
A0A087WPL0,Runx1,182.25352811455866,154.56014463779033,135.91181695267554,134.9040077286969,108.81870468827039,126.38118604618559,75.7659111057207,192.24583094904688,57.803098897225354,94.83847578144139,115.36584954155711,73.16267394118631
A0A087WPL1,Pdlim2,54.59197768817148,58.89643934785619,45.560433900243346,76.15162074083047,46.63192813368321,49.76604481761255,9.508906050686779,138.71628771690874,0.0,108.76554657711515,75.48096859701168,69.2732265310312
A0A087WPL4,Bap1,0.0,0.0,0.0,0.0,0.0,0.0,18.18177389220835,0.0,0.0,0.0,0.0,0.0
A0A087WPM0,2700094K13Rik,0.0,0.0,22.053276272063574,0.0,78.2595783580914,57.76377506552742,55.63996306665263,63.74324177760724,43.71598012741831,40.98707710196101,55.36695381558007,43.282091747369876
