,K = 1,K = 2,null
HSC,0.0011196438586727221,0.00046223575155525333,7.772878509073708e-05
MPPa,0.0013200015181201801,0.00034918281524666425,6.46630704209562e-05
MPPb,0.0013655114717108846,0.00032660037237220953,6.008157908995691e-05
MPPc,0.0013462420673450875,0.0002838864337795086,5.9690146179826794e-05
CLP,0.0013297903405241546,0.00028983673984849103,6.780865150317568e-05
CMP,0.0014147387988024214,0.000267602251388952,6.051203817503463e-05
MEP,0.0012264777253729196,0.0002962812541736867,6.489284993730931e-05
GMP,0.001196564358593295,0.00028860354146239013,6.081909075582105e-05
