,K = 1,K = 2,null
HSC,0.001966125508102679,0.0009715861092237197,0.00017716113720052325
MPPa,0.0020903608993543066,0.0009209481974642307,0.00014899552658797138
MPPb,0.002100583284578659,0.0009407667889041125,0.00014104575263510378
MPPc,0.002055340550613133,0.0008002076471029605,0.00014368822179460915
