,mu1,var1,weight1,mu2,var2,weight2,UE,OE
HSC,-0.16805709798039078,0.8658414567857309,0.6814441935646492,-1.2090955762027582,4.315645476241893,0.31855580643535075,-5.3639219149283095,2.9457307625227935
MPPa,-0.17577128069628886,0.7553461249482887,0.7473312739910657,-0.811442835698275,5.4425583958392005,0.2526687260089343,-5.4773011258049085,3.854415454408359
MPPb,-0.10663313563082222,0.6293388426001817,0.7443398836668143,0.6489676541406416,4.652992671563821,0.25566011633318575,-3.6651916714122854,4.963126979693569
MPPc,0.3971049033667867,0.7446004387929013,0.7454089171611312,1.336254685906347,4.815747820434052,0.2545910828388688,-3.052707752043676,5.72521712385637
