HSC_MPPa_MPPb_MPPc_CLP_CMP_MEP_GMP,3130
MPPa_MPPb_MPPc_CLP_CMP_MEP_GMP,619
HSC_MPPb_MPPc_CLP_CMP_MEP_GMP,30
HSC_MPPa_MPPc_CLP_CMP_MEP_GMP,2
HSC_MPPa_MPPb_CLP_CMP_MEP_GMP,4
HSC_MPPa_MPPb_MPPc_CMP_MEP_GMP,118
HSC_MPPa_MPPb_MPPc_CLP_MEP_GMP,8
HSC_MPPa_MPPb_MPPc_CLP_CMP_GMP,111
HSC_MPPa_MPPb_MPPc_CLP_CMP_MEP,30
MPPb_MPPc_CLP_CMP_MEP_GMP,160
MPPa_MPPc_CLP_CMP_MEP_GMP,9
MPPa_MPPb_CLP_CMP_MEP_GMP,3
MPPa_MPPb_MPPc_CMP_MEP_GMP,146
MPPa_MPPb_MPPc_CLP_MEP_GMP,6
MPPa_MPPb_MPPc_CLP_CMP_GMP,64
MPPa_MPPb_MPPc_CLP_CMP_MEP,13
HSC_MPPb_CLP_CMP_MEP_GMP,3
HSC_MPPb_MPPc_CMP_MEP_GMP,9
HSC_MPPb_MPPc_CLP_CMP_GMP,4
HSC_MPPb_MPPc_CLP_CMP_MEP,3
HSC_MPPa_CLP_CMP_MEP_GMP,3
HSC_MPPa_MPPc_CMP_MEP_GMP,1
HSC_MPPa_MPPb_CMP_MEP_GMP,7
HSC_MPPa_MPPb_CLP_MEP_GMP,1
HSC_MPPa_MPPb_CLP_CMP_GMP,1
HSC_MPPa_MPPb_CLP_CMP_MEP,2
HSC_MPPa_MPPb_MPPc_MEP_GMP,9
HSC_MPPa_MPPb_MPPc_CMP_GMP,64
HSC_MPPa_MPPb_MPPc_CMP_MEP,20
HSC_MPPa_MPPb_MPPc_CLP_GMP,5
HSC_MPPa_MPPb_MPPc_CLP_MEP,12
HSC_MPPa_MPPb_MPPc_CLP_CMP,20
MPPc_CLP_CMP_MEP_GMP,28
MPPb_CLP_CMP_MEP_GMP,16
MPPb_MPPc_CMP_MEP_GMP,127
MPPb_MPPc_CLP_MEP_GMP,7
MPPb_MPPc_CLP_CMP_GMP,52
MPPb_MPPc_CLP_CMP_MEP,3
MPPa_CLP_CMP_MEP_GMP,1
MPPa_MPPc_CMP_MEP_GMP,7
MPPa_MPPc_CLP_CMP_GMP,5
MPPa_MPPc_CLP_CMP_MEP,1
MPPa_MPPb_CMP_MEP_GMP,6
MPPa_MPPb_CLP_CMP_GMP,1
MPPa_MPPb_CLP_CMP_MEP,2
MPPa_MPPb_MPPc_MEP_GMP,8
MPPa_MPPb_MPPc_CMP_GMP,79
MPPa_MPPb_MPPc_CMP_MEP,18
MPPa_MPPb_MPPc_CLP_GMP,8
MPPa_MPPb_MPPc_CLP_CMP,13
HSC_MPPc_CMP_MEP_GMP,1
HSC_MPPb_CMP_MEP_GMP,1
HSC_MPPb_CLP_CMP_MEP,2
HSC_MPPb_MPPc_MEP_GMP,2
HSC_MPPb_MPPc_CMP_GMP,7
HSC_MPPb_MPPc_CMP_MEP,2
HSC_MPPa_CMP_MEP_GMP,2
HSC_MPPa_CLP_CMP_MEP,1
HSC_MPPa_MPPb_MEP_GMP,1
HSC_MPPa_MPPb_CMP_GMP,1
HSC_MPPa_MPPb_CMP_MEP,8
HSC_MPPa_MPPb_CLP_GMP,3
HSC_MPPa_MPPb_CLP_MEP,2
HSC_MPPa_MPPb_CLP_CMP,6
HSC_MPPa_MPPb_MPPc_GMP,11
HSC_MPPa_MPPb_MPPc_MEP,4
HSC_MPPa_MPPb_MPPc_CMP,35
HSC_MPPa_MPPb_MPPc_CLP,14
CLP_CMP_MEP_GMP,13
MPPc_CMP_MEP_GMP,29
MPPc_CLP_MEP_GMP,5
MPPc_CLP_CMP_GMP,17
MPPb_CMP_MEP_GMP,30
MPPb_CLP_MEP_GMP,2
MPPb_CLP_CMP_GMP,5
MPPb_CLP_CMP_MEP,2
MPPb_MPPc_MEP_GMP,24
MPPb_MPPc_CMP_GMP,84
MPPb_MPPc_CMP_MEP,18
MPPb_MPPc_CLP_GMP,8
MPPb_MPPc_CLP_MEP,1
