gene_id,HSC,MPPa,MPPb,MPPc
Hspb11,56.49570915,51.80234171,35.76475634,25.62540909
Hspb2,1.140992515,0,0,0.642480281
Hspb3,0,0,0,0
Hspb6,29.26045377,17.70746008,17.09830691,14.44041822
Hspb7,0,0,0.019443422,0.041822062
Hspb8,5.821181075,1.98599466,0.63792146,0.125748807
Hspb9,6.743579773,1.628512681,0.987443326,3.17249695
Hspbap1,3.561418876,1.471947235,1.72519686,1.975785132
Hspbp1,77.02536019,40.29684182,77.69790178,90.29104195
Hspd1,388.6915755,512.6836457,493.2936653,586.7085328
Hspe1,536.4365323,627.3021448,509.4594588,674.6316292
Hspg2,0.328292456,0.237919498,0.120632562,0.047698056
Hsph1,84.10268415,95.11736438,91.48632355,127.6780571
Htatip2,44.54987445,24.97705793,16.36194176,18.16622882
Htatsf1,124.6047613,158.1309644,147.9770343,157.8046549
Htr1a,0,0,0,0
Htr1b,0.661575833,0,0,0.385738563
Htr1d,0,0,0,0
Htr1f,0,0,0,0
Htr2a,24.98485116,14.60605027,7.004425561,1.558524581
Htr2b,5.122972074,5.686596487,6.549286342,4.619467911
Htr2c,0,0,0,0
Htr3a,0,0,0,0
Htr3b,0,0,0.018999766,0
Htr4,0,0,0,0
Htr5a,0.022296749,0,0,0
Htr5b,0,0.420801581,0.031747004,0.15101533
Htr6,0,0.161878982,0,0.066641958
Htr7,0.531658293,0,0.090820108,0.04909699
Htra1,0.413575285,0.110984922,0.372226633,0.037394777
Htra2,66.19492063,52.46545945,64.57840939,67.1203052
Htra3,5.399977621,0.736981186,0.046702712,0
Htra4,0.155531218,0.253036412,0,0.053999079
Htt,32.41451711,29.93574022,30.12061246,19.80897627
Hunk,0,0,0,0
Hus1,38.74249403,40.41444797,35.31233125,19.0110559
Hus1b,1.557897443,1.34451419,1.619702687,0.508031796
Huwe1,194.8812719,207.3353411,227.260616,146.988776
Hvcn1,11.92976545,9.180675133,28.25328899,12.3104821
Hyal1,0.922736625,2.422415242,1.257530873,0.690240767
Hyal2,26.15956075,14.64689579,25.01010888,23.70155881
Hyal3,12.27570336,15.10316241,9.819023196,5.300847021
Hyal4,0,0,0,0
Hyal5,0,0,0,0
Hyal6,0,0,0,0
Hydin,0,0,0,0
Hyi,148.5720507,88.42263443,89.49227094,73.99045184
Hykk,1.306850827,0.354564442,0.624031362,0.467796632
Hyls1,5.190935557,9.592658514,8.945991013,10.28369013
Hymai,0.385631328,0.217930298,0.077583908,0.034881724
Hyou1,76.26396122,86.83291594,118.5088576,48.02049774
Hypk,461.5349128,537.0937063,391.5095038,421.1261369
Hypm,1.317626678,0,0,0
I730028E13Rik,0,0,0,0
I730030J21Rik,88.20010711,138.4880238,268.2628139,140.5811161
I830077J02Rik,2.739972891,8.331015949,16.87359758,14.87233121
Iah1,34.30454472,41.68052338,39.89483159,37.58510319
Iapp,0,0,0,0
Iars,95.01630572,116.1039553,138.0096942,97.65134691
Iars2,61.95122022,61.7301099,63.85853782,35.30472811
Iba57,10.05472005,7.799752794,6.420030979,4.847724767
Ibsp,0,0,0.053892033,0
Ibtk,45.83305149,56.46316381,57.39138532,48.83799069
Ica1,34.19442308,23.62119475,17.58829142,24.27101984
Ica1l,14.1207607,6.545912944,6.168013295,4.534175303
Icam1,43.1041144,27.54268128,30.17531268,32.83200176
Icam2,70.89683104,77.1077922,94.09293509,85.41122489
Icam4,16.90889409,30.63233048,16.55186844,3.570832835
Icam5,0.532792593,0,0,0.0913402
