,mu1,var1,weight1,mu2,var2,weight2,UE,OE
HSC,-0.21778248807027184,0.9518336758327697,0.6948192156788048,-0.5509533134573756,5.898364693390678,0.3051807843211952,-5.408263142319718,4.306356515404967
aHSC,-0.0021935861108802763,0.6365756631531204,0.673328075178315,-0.15117360302595081,5.1438377221305105,0.32667192482168494,-4.68717965334401,4.3848324472921085
MPPa,-0.05063301381965205,0.5819983948720809,0.7011310718904931,-0.5363071611289653,5.121702883644962,0.29886892810950694,-5.0625430735157515,3.989928751257821
MPPb,-0.04591280130711596,0.5247144473025857,0.741007994331473,0.537915154695316,4.805508954154032,0.258992005668527,-3.846379066341421,4.922209375732053
MPPc,0.034912152240632065,0.5570748114986023,0.7349600001622381,0.6538551710054352,4.865302211397225,0.26503999983776194,-3.757630842299934,5.065341184310805
CLP,0.017287411647916473,0.6173819388801746,0.7097695071598593,-0.33829120575930227,5.556716222935444,0.2902304928401407,-5.052828817417711,4.376246405899107
CMP,0.05660366688853744,0.48359870389694626,0.7298857183840809,0.42194186929062505,4.801083390706407,0.2701142816159191,-3.960333060791424,4.804216799372674
MEP,0.07012505200776206,0.845623535726612,0.7325743779464279,-0.4113334987326575,6.24854961612777,0.2674256220535721,-5.410753311522046,4.5880863140567305
GMP,0.018842996310731143,0.7180608843648032,0.7176116296390951,0.4647564653814434,5.709109396262778,0.2823883703609049,-4.313992072159648,5.243505002922534
