,K = 1,K = 2,null
HSC,0.0010630323762078455,0.0004369624483256794,6.815248346984716e-05
aHSC,0.0011240188732975765,0.00015850886013852778,5.423666970612273e-05
MPPa,0.0012313264519601558,0.00032804940639201847,5.643178957525764e-05
MPPb,0.0012790460522225605,0.00030095879138173476,5.170686114422094e-05
MPPc,0.0012393033941709593,0.00026861619699657536,5.245835745802723e-05
CLP,0.0012532251636271324,0.0002677945360122489,5.971220026988047e-05
CMP,0.0012955472587000813,0.00025647422805583347,5.2020510200409515e-05
MEP,0.0011243130284730272,0.0002636243945528333,5.633117121138448e-05
GMP,0.0010995855774043213,0.00027381253994815613,5.3791561984377356e-05
